Team,Location,Stadium,Capacity
Wrexham,Wrexham,Racecourse Ground,"13,341"
Birmingham City,Birmingham (Bordesley),St Andrew's,"29,409"
Blackburn Rovers,Blackburn,Ewood Park,"31,367"
Bristol City,Bristol,Ashton Gate,"26,462"
Charlton Athletic,London (Charlton),The Valley,"27,111"
Coventry City,Coventry,Coventry Building Society Arena,"32,609"
Derby County,Derby,Pride Park,"32,926"
Hull City,Kingston upon Hull,MKM Stadium,"25,586"
Ipswich Town,Ipswich,Portman Road,"30,056"
Leicester City,Leicester,King Power Stadium,"32,259"
Middlesbrough,Middlesbrough,Riverside Stadium,"34,742"
Millwall,London (Bermondsey),The Den,"20,146"
Norwich City,Norwich,Carrow Road,"27,359"
Oxford United,Oxford,Kassam Stadium,"12,500"
Portsmouth,Portsmouth,Fratton Park,"20,899"
Preston North End,Preston,Deepdale,"23,408"
Queens Park Rangers,London (Shepherd's Bush),Loftus Road,"18,439"
Sheffield United,Sheffield (Highfield),Bramall Lane,"32,050"
Sheffield Wednesday,Sheffield (Hillsborough),Hillsborough Stadium,"39,732"
Southampton,Southampton,St Mary's Stadium,"32,384"
Stoke City,Stoke-on-Trent,bet365 Stadium,"30,089"
Swansea City,Swansea,Swansea.com Stadium,"21,088"
Watford,Watford,Vicarage Road,"22,200"
West Bromwich Albion,West Bromwich,The Hawthorns,"26,850"
Wrexham,Wrexham,Racecourse Ground,"13,341"
